,Quarter,Region,State,Purpose,Trips,Latitude,Longitude
5808,1/10/2005,Central NSW,New South Wales,Business,107.534824,-32.0948,147.01
5809,1/01/2006,Central NSW,New South Wales,Business,74.351889,-32.0948,147.01
5810,1/04/2006,Central NSW,New South Wales,Business,67.415514,-32.0948,147.01
5811,1/07/2006,Central NSW,New South Wales,Business,71.392079,-32.0948,147.01
5812,1/10/2006,Central NSW,New South Wales,Business,56.024018,-32.0948,147.01
5813,1/01/2007,Central NSW,New South Wales,Business,62.6272587,-32.0948,147.01
5814,1/04/2007,Central NSW,New South Wales,Business,84.6243217,-32.0948,147.01
5815,1/07/2007,Central NSW,New South Wales,Business,97.0113383,-32.0948,147.01
5816,1/10/2007,Central NSW,New South Wales,Business,75.5316146,-32.0948,147.01
5817,1/01/2008,Central NSW,New South Wales,Business,93.001228,-32.0948,147.01
5818,1/04/2008,Central NSW,New South Wales,Business,93.1386306,-32.0948,147.01
5819,1/07/2008,Central NSW,New South Wales,Business,82.080274,-32.0948,147.01
5820,1/10/2008,Central NSW,New South Wales,Business,80.9019565,-32.0948,147.01
5821,1/01/2009,Central NSW,New South Wales,Business,47.229181,-32.0948,147.01
5822,1/04/2009,Central NSW,New South Wales,Business,81.2344901,-32.0948,147.01
5823,1/07/2009,Central NSW,New South Wales,Business,94.090973,-32.0948,147.01
5824,1/10/2009,Central NSW,New South Wales,Business,66.7347253,-32.0948,147.01
5825,1/01/2010,Central NSW,New South Wales,Business,56.0234503,-32.0948,147.01
5826,1/04/2010,Central NSW,New South Wales,Business,68.0939441,-32.0948,147.01
5827,1/07/2010,Central NSW,New South Wales,Business,111.9774499,-32.0948,147.01
5828,1/10/2010,Central NSW,New South Wales,Business,38.497708,-32.0948,147.01
5829,1/01/2011,Central NSW,New South Wales,Business,48.2917576,-32.0948,147.01
5830,1/04/2011,Central NSW,New South Wales,Business,84.6492622,-32.0948,147.01
5831,1/07/2011,Central NSW,New South Wales,Business,106.7746042,-32.0948,147.01
5832,1/10/2011,Central NSW,New South Wales,Business,116.7211257,-32.0948,147.01
5833,1/01/2012,Central NSW,New South Wales,Business,80.1424167,-32.0948,147.01
5834,1/04/2012,Central NSW,New South Wales,Business,118.9619081,-32.0948,147.01
5835,1/07/2012,Central NSW,New South Wales,Business,75.9860203,-32.0948,147.01
5836,1/10/2012,Central NSW,New South Wales,Business,69.4461722,-32.0948,147.01
5837,1/01/2013,Central NSW,New South Wales,Business,38.4214424,-32.0948,147.01
5838,1/04/2013,Central NSW,New South Wales,Business,105.7243414,-32.0948,147.01
5839,1/07/2013,Central NSW,New South Wales,Business,98.2057034,-32.0948,147.01
5840,1/10/2013,Central NSW,New South Wales,Business,113.9043182,-32.0948,147.01
5841,1/01/2014,Central NSW,New South Wales,Business,73.6733812,-32.0948,147.01
5842,1/04/2014,Central NSW,New South Wales,Business,142.4717434,-32.0948,147.01
5843,1/07/2014,Central NSW,New South Wales,Business,107.0530866,-32.0948,147.01
5844,1/10/2014,Central NSW,New South Wales,Business,133.6129442,-32.0948,147.01
5845,1/01/2015,Central NSW,New South Wales,Business,49.1606832,-32.0948,147.01
5846,1/04/2015,Central NSW,New South Wales,Business,117.1843062,-32.0948,147.01
5847,1/07/2015,Central NSW,New South Wales,Business,102.8318672,-32.0948,147.01
5848,1/10/2015,Central NSW,New South Wales,Business,114.122841,-32.0948,147.01
5849,1/01/2016,Central NSW,New South Wales,Business,105.262351,-32.0948,147.01
5850,1/04/2016,Central NSW,New South Wales,Business,81.7780417,-32.0948,147.01
5851,1/07/2016,Central NSW,New South Wales,Business,120.4516491,-32.0948,147.01
5852,1/10/2016,Central NSW,New South Wales,Business,94.7146474,-32.0948,147.01
5853,1/01/1998,Central NSW,New South Wales,Holiday,169.5717532,-32.0948,147.01
5854,1/04/1998,Central NSW,New South Wales,Holiday,173.9359125,-32.0948,147.01
5855,1/07/1998,Central NSW,New South Wales,Holiday,197.6246362,-32.0948,147.01
5856,1/10/1998,Central NSW,New South Wales,Holiday,284.6541445,-32.0948,147.01
5857,1/01/1999,Central NSW,New South Wales,Holiday,208.0582697,-32.0948,147.01
5858,1/04/1999,Central NSW,New South Wales,Holiday,166.6374398,-32.0948,147.01
5859,1/07/1999,Central NSW,New South Wales,Holiday,238.6022786,-32.0948,147.01
5860,1/10/1999,Central NSW,New South Wales,Holiday,254.4460481,-32.0948,147.01
5861,1/01/2000,Central NSW,New South Wales,Holiday,139.7919942,-32.0948,147.01
5862,1/04/2000,Central NSW,New South Wales,Holiday,176.6733704,-32.0948,147.01
5863,1/07/2000,Central NSW,New South Wales,Holiday,195.4752141,-32.0948,147.01
5864,1/10/2000,Central NSW,New South Wales,Holiday,140.533789,-32.0948,147.01
5865,1/01/2001,Central NSW,New South Wales,Holiday,187.2618009,-32.0948,147.01
5866,1/04/2001,Central NSW,New South Wales,Holiday,167.0780099,-32.0948,147.01
5867,1/07/2001,Central NSW,New South Wales,Holiday,196.983581,-32.0948,147.01
5868,1/10/2001,Central NSW,New South Wales,Holiday,209.4023476,-32.0948,147.01
5869,1/01/2002,Central NSW,New South Wales,Holiday,157.9075978,-32.0948,147.01
5870,1/04/2002,Central NSW,New South Wales,Holiday,265.3904293,-32.0948,147.01
5871,1/07/2002,Central NSW,New South Wales,Holiday,170.2183956,-32.0948,147.01
5872,1/10/2002,Central NSW,New South Wales,Holiday,199.6983897,-32.0948,147.01
5873,1/01/2003,Central NSW,New South Wales,Holiday,192.084538,-32.0948,147.01
5874,1/04/2003,Central NSW,New South Wales,Holiday,173.306104,-32.0948,147.01
5875,1/07/2003,Central NSW,New South Wales,Holiday,238.5568994,-32.0948,147.01
5876,1/10/2003,Central NSW,New South Wales,Holiday,242.4183208,-32.0948,147.01
5877,1/01/2004,Central NSW,New South Wales,Holiday,147.2727504,-32.0948,147.01
5878,1/04/2004,Central NSW,New South Wales,Holiday,205.9593972,-32.0948,147.01
5879,1/07/2004,Central NSW,New South Wales,Holiday,169.9634347,-32.0948,147.01
5880,1/10/2004,Central NSW,New South Wales,Holiday,184.3292307,-32.0948,147.01
5881,1/01/2005,Central NSW,New South Wales,Holiday,175.2526038,-32.0948,147.01
5882,1/04/2005,Central NSW,New South Wales,Holiday,170.4139804,-32.0948,147.01
5883,1/07/2005,Central NSW,New South Wales,Holiday,180.4292621,-32.0948,147.01
5884,1/10/2005,Central NSW,New South Wales,Holiday,152.3818629,-32.0948,147.01
5885,1/01/2006,Central NSW,New South Wales,Holiday,148.541396,-32.0948,147.01
5886,1/04/2006,Central NSW,New South Wales,Holiday,180.589886,-32.0948,147.01
5887,1/07/2006,Central NSW,New South Wales,Holiday,156.644612,-32.0948,147.01
5888,1/10/2006,Central NSW,New South Wales,Holiday,171.989872,-32.0948,147.01
5889,1/01/2007,Central NSW,New South Wales,Holiday,147.8998986,-32.0948,147.01
5890,1/04/2007,Central NSW,New South Wales,Holiday,177.2297521,-32.0948,147.01
5891,1/07/2007,Central NSW,New South Wales,Holiday,148.39276,-32.0948,147.01
5892,1/10/2007,Central NSW,New South Wales,Holiday,194.055415,-32.0948,147.01
5893,1/01/2008,Central NSW,New South Wales,Holiday,154.2770242,-32.0948,147.01
5894,1/04/2008,Central NSW,New South Wales,Holiday,163.732345,-32.0948,147.01
5895,1/07/2008,Central NSW,New South Wales,Holiday,151.7959576,-32.0948,147.01
5896,1/10/2008,Central NSW,New South Wales,Holiday,149.5333543,-32.0948,147.01
5897,1/01/2009,Central NSW,New South Wales,Holiday,101.0432239,-32.0948,147.01
5898,1/04/2009,Central NSW,New South Wales,Holiday,179.2985704,-32.0948,147.01
5899,1/07/2009,Central NSW,New South Wales,Holiday,161.0340492,-32.0948,147.01
5900,1/10/2009,Central NSW,New South Wales,Holiday,161.8622259,-32.0948,147.01
5901,1/01/2010,Central NSW,New South Wales,Holiday,169.1637938,-32.0948,147.01
5902,1/04/2010,Central NSW,New South Wales,Holiday,158.3692671,-32.0948,147.01
5903,1/07/2010,Central NSW,New South Wales,Holiday,166.3904061,-32.0948,147.01
5904,1/10/2010,Central NSW,New South Wales,Holiday,194.7727519,-32.0948,147.01
5905,1/01/2011,Central NSW,New South Wales,Holiday,151.6178849,-32.0948,147.01
5906,1/04/2011,Central NSW,New South Wales,Holiday,146.8674836,-32.0948,147.01
5907,1/07/2011,Central NSW,New South Wales,Holiday,165.0049526,-32.0948,147.01
5908,1/10/2011,Central NSW,New South Wales,Holiday,168.1794614,-32.0948,147.01
5909,1/01/2012,Central NSW,New South Wales,Holiday,141.4078676,-32.0948,147.01
5910,1/04/2012,Central NSW,New South Wales,Holiday,193.6725777,-32.0948,147.01
5911,1/07/2012,Central NSW,New South Wales,Holiday,145.875752,-32.0948,147.01
5912,1/10/2012,Central NSW,New South Wales,Holiday,194.0545281,-32.0948,147.01
5913,1/01/2013,Central NSW,New South Wales,Holiday,129.1367599,-32.0948,147.01
5914,1/04/2013,Central NSW,New South Wales,Holiday,223.6487753,-32.0948,147.01
5915,1/07/2013,Central NSW,New South Wales,Holiday,155.2765253,-32.0948,147.01
5916,1/10/2013,Central NSW,New South Wales,Holiday,149.0275793,-32.0948,147.01
5917,1/01/2014,Central NSW,New South Wales,Holiday,120.0349565,-32.0948,147.01
5918,1/04/2014,Central NSW,New South Wales,Holiday,176.2819228,-32.0948,147.01
5919,1/07/2014,Central NSW,New South Wales,Holiday,174.163397,-32.0948,147.01
5920,1/10/2014,Central NSW,New South Wales,Holiday,193.6603799,-32.0948,147.01
5921,1/01/2015,Central NSW,New South Wales,Holiday,174.5566169,-32.0948,147.01
5922,1/04/2015,Central NSW,New South Wales,Holiday,180.4158564,-32.0948,147.01
5923,1/07/2015,Central NSW,New South Wales,Holiday,164.8276864,-32.0948,147.01
5924,1/10/2015,Central NSW,New South Wales,Holiday,193.8163869,-32.0948,147.01
5925,1/01/2016,Central NSW,New South Wales,Holiday,171.4548066,-32.0948,147.01
5926,1/04/2016,Central NSW,New South Wales,Holiday,205.2921058,-32.0948,147.01
5927,1/07/2016,Central NSW,New South Wales,Holiday,162.1012033,-32.0948,147.01
5928,1/10/2016,Central NSW,New South Wales,Holiday,195.8905279,-32.0948,147.01
5929,1/01/1998,Central NSW,New South Wales,Other,11.7481006,-32.0948,147.01
5930,1/04/1998,Central NSW,New South Wales,Other,21.4781007,-32.0948,147.01
5931,1/07/1998,Central NSW,New South Wales,Other,45.6897672,-32.0948,147.01
5932,1/10/1998,Central NSW,New South Wales,Other,26.3137492,-32.0948,147.01
5933,1/01/1999,Central NSW,New South Wales,Other,34.8634122,-32.0948,147.01
5934,1/04/1999,Central NSW,New South Wales,Other,11.41632,-32.0948,147.01
5935,1/07/1999,Central NSW,New South Wales,Other,19.039386,-32.0948,147.01
5936,1/10/1999,Central NSW,New South Wales,Other,54.6667361,-32.0948,147.01
5937,1/01/2000,Central NSW,New South Wales,Other,12.9257104,-32.0948,147.01
5938,1/04/2000,Central NSW,New South Wales,Other,23.549126,-32.0948,147.01
5939,1/07/2000,Central NSW,New South Wales,Other,26.9871319,-32.0948,147.01
5940,1/10/2000,Central NSW,New South Wales,Other,13.7720995,-32.0948,147.01
5941,1/01/2001,Central NSW,New South Wales,Other,10.627458,-32.0948,147.01
5942,1/04/2001,Central NSW,New South Wales,Other,21.1030868,-32.0948,147.01
5943,1/07/2001,Central NSW,New South Wales,Other,18.9798339,-32.0948,147.01
5944,1/10/2001,Central NSW,New South Wales,Other,24.5751167,-32.0948,147.01
5945,1/01/2002,Central NSW,New South Wales,Other,12.8390347,-32.0948,147.01
5946,1/04/2002,Central NSW,New South Wales,Other,41.3798157,-32.0948,147.01
5947,1/07/2002,Central NSW,New South Wales,Other,40.6023158,-32.0948,147.01
5948,1/10/2002,Central NSW,New South Wales,Other,28.7667834,-32.0948,147.01
5949,1/01/2003,Central NSW,New South Wales,Other,25.6003322,-32.0948,147.01
5950,1/04/2003,Central NSW,New South Wales,Other,21.6622101,-32.0948,147.01
5951,1/07/2003,Central NSW,New South Wales,Other,19.9486215,-32.0948,147.01
5952,1/10/2003,Central NSW,New South Wales,Other,10.8937955,-32.0948,147.01
5953,1/01/2004,Central NSW,New South Wales,Other,4.856737,-32.0948,147.01
5954,1/04/2004,Central NSW,New South Wales,Other,13.6155224,-32.0948,147.01
5955,1/07/2004,Central NSW,New South Wales,Other,17.0662435,-32.0948,147.01
5956,1/10/2004,Central NSW,New South Wales,Other,19.0774604,-32.0948,147.01
5957,1/01/2005,Central NSW,New South Wales,Other,43.2937057,-32.0948,147.01
5958,1/04/2005,Central NSW,New South Wales,Other,17.900744,-32.0948,147.01
5959,1/07/2005,Central NSW,New South Wales,Other,25.7217499,-32.0948,147.01
5960,1/10/2005,Central NSW,New South Wales,Other,21.9159629,-32.0948,147.01
5961,1/01/2006,Central NSW,New South Wales,Other,26.738253,-32.0948,147.01
5962,1/04/2006,Central NSW,New South Wales,Other,11.665214,-32.0948,147.01
5963,1/07/2006,Central NSW,New South Wales,Other,26.397022,-32.0948,147.01
5964,1/10/2006,Central NSW,New South Wales,Other,29.057251,-32.0948,147.01
5965,1/01/2007,Central NSW,New South Wales,Other,9.0433063,-32.0948,147.01
5966,1/04/2007,Central NSW,New South Wales,Other,39.8986215,-32.0948,147.01
5967,1/07/2007,Central NSW,New South Wales,Other,28.6457267,-32.0948,147.01
5968,1/10/2007,Central NSW,New South Wales,Other,20.5869047,-32.0948,147.01
5969,1/01/2008,Central NSW,New South Wales,Other,24.5671459,-32.0948,147.01
5970,1/04/2008,Central NSW,New South Wales,Other,1.1803163,-32.0948,147.01
5971,1/07/2008,Central NSW,New South Wales,Other,39.8318347,-32.0948,147.01
5972,1/10/2008,Central NSW,New South Wales,Other,24.3221593,-32.0948,147.01
5973,1/01/2009,Central NSW,New South Wales,Other,21.4217754,-32.0948,147.01
5974,1/04/2009,Central NSW,New South Wales,Other,10.0632292,-32.0948,147.01
5975,1/07/2009,Central NSW,New South Wales,Other,16.9816525,-32.0948,147.01
5976,1/10/2009,Central NSW,New South Wales,Other,20.986533,-32.0948,147.01
5977,1/01/2010,Central NSW,New South Wales,Other,8.334521,-32.0948,147.01
5978,1/04/2010,Central NSW,New South Wales,Other,14.8690402,-32.0948,147.01
5979,1/07/2010,Central NSW,New South Wales,Other,39.7119606,-32.0948,147.01
5980,1/10/2010,Central NSW,New South Wales,Other,16.2844238,-32.0948,147.01
5981,1/01/2011,Central NSW,New South Wales,Other,37.6696607,-32.0948,147.01
5982,1/04/2011,Central NSW,New South Wales,Other,17.2711924,-32.0948,147.01
5983,1/07/2011,Central NSW,New South Wales,Other,29.7746324,-32.0948,147.01
5984,1/10/2011,Central NSW,New South Wales,Other,25.0632692,-32.0948,147.01
5985,1/01/2012,Central NSW,New South Wales,Other,18.6372464,-32.0948,147.01
5986,1/04/2012,Central NSW,New South Wales,Other,21.1232404,-32.0948,147.01
5987,1/07/2012,Central NSW,New South Wales,Other,24.8209429,-32.0948,147.01
5988,1/10/2012,Central NSW,New South Wales,Other,17.8099983,-32.0948,147.01
5989,1/01/2013,Central NSW,New South Wales,Other,11.2842529,-32.0948,147.01
5990,1/04/2013,Central NSW,New South Wales,Other,41.0554527,-32.0948,147.01
5991,1/07/2013,Central NSW,New South Wales,Other,12.9088848,-32.0948,147.01
5992,1/10/2013,Central NSW,New South Wales,Other,27.109417,-32.0948,147.01
5993,1/01/2014,Central NSW,New South Wales,Other,25.4051285,-32.0948,147.01
5994,1/04/2014,Central NSW,New South Wales,Other,18.3278401,-32.0948,147.01
5995,1/07/2014,Central NSW,New South Wales,Other,44.3793777,-32.0948,147.01
5996,1/10/2014,Central NSW,New South Wales,Other,36.3114009,-32.0948,147.01
5997,1/01/2015,Central NSW,New South Wales,Other,24.0721421,-32.0948,147.01
5998,1/04/2015,Central NSW,New South Wales,Other,18.4222954,-32.0948,147.01
5999,1/07/2015,Central NSW,New South Wales,Other,20.5846167,-32.0948,147.01
6000,1/10/2015,Central NSW,New South Wales,Other,23.7171916,-32.0948,147.01
6001,1/01/2016,Central NSW,New South Wales,Other,34.0959221,-32.0948,147.01
6002,1/04/2016,Central NSW,New South Wales,Other,32.0249143,-32.0948,147.01
6003,1/07/2016,Central NSW,New South Wales,Other,48.505726,-32.0948,147.01
6004,1/10/2016,Central NSW,New South Wales,Other,27.8020882,-32.0948,147.01
6005,1/01/1998,Central NSW,New South Wales,Visiting,143.2431406,-32.0948,147.01
6006,1/04/1998,Central NSW,New South Wales,Visiting,209.0177113,-32.0948,147.01
6007,1/07/1998,Central NSW,New South Wales,Visiting,212.4434913,-32.0948,147.01
6008,1/10/1998,Central NSW,New South Wales,Visiting,142.5305646,-32.0948,147.01
6009,1/01/1999,Central NSW,New South Wales,Visiting,180.2724784,-32.0948,147.01
6010,1/04/1999,Central NSW,New South Wales,Visiting,198.9555589,-32.0948,147.01
6011,1/07/1999,Central NSW,New South Wales,Visiting,128.5991364,-32.0948,147.01
6012,1/10/1999,Central NSW,New South Wales,Visiting,193.6967244,-32.0948,147.01
6013,1/01/2000,Central NSW,New South Wales,Visiting,170.4225838,-32.0948,147.01
6014,1/04/2000,Central NSW,New South Wales,Visiting,137.6183605,-32.0948,147.01
6015,1/07/2000,Central NSW,New South Wales,Visiting,138.6159885,-32.0948,147.01
6016,1/10/2000,Central NSW,New South Wales,Visiting,178.9669584,-32.0948,147.01
6017,1/01/2001,Central NSW,New South Wales,Visiting,148.4382734,-32.0948,147.01
6018,1/04/2001,Central NSW,New South Wales,Visiting,136.6000044,-32.0948,147.01
6019,1/07/2001,Central NSW,New South Wales,Visiting,188.0229746,-32.0948,147.01
6020,1/10/2001,Central NSW,New South Wales,Visiting,164.9870639,-32.0948,147.01
6021,1/01/2002,Central NSW,New South Wales,Visiting,168.6966363,-32.0948,147.01
6022,1/04/2002,Central NSW,New South Wales,Visiting,167.6693835,-32.0948,147.01
6023,1/07/2002,Central NSW,New South Wales,Visiting,170.4364461,-32.0948,147.01
6024,1/10/2002,Central NSW,New South Wales,Visiting,213.7781196,-32.0948,147.01
6025,1/01/2003,Central NSW,New South Wales,Visiting,165.9457363,-32.0948,147.01
6026,1/04/2003,Central NSW,New South Wales,Visiting,229.3835257,-32.0948,147.01
6027,1/07/2003,Central NSW,New South Wales,Visiting,204.1430285,-32.0948,147.01
6028,1/10/2003,Central NSW,New South Wales,Visiting,252.3568467,-32.0948,147.01
6029,1/01/2004,Central NSW,New South Wales,Visiting,168.6641506,-32.0948,147.01
6030,1/04/2004,Central NSW,New South Wales,Visiting,216.490016,-32.0948,147.01
6031,1/07/2004,Central NSW,New South Wales,Visiting,169.7488849,-32.0948,147.01
6032,1/10/2004,Central NSW,New South Wales,Visiting,226.5659623,-32.0948,147.01
6033,1/01/2005,Central NSW,New South Wales,Visiting,201.9206832,-32.0948,147.01
6034,1/04/2005,Central NSW,New South Wales,Visiting,192.4553441,-32.0948,147.01
6035,1/07/2005,Central NSW,New South Wales,Visiting,157.5545229,-32.0948,147.01
6036,1/10/2005,Central NSW,New South Wales,Visiting,161.9592249,-32.0948,147.01
6037,1/01/2006,Central NSW,New South Wales,Visiting,186.882916,-32.0948,147.01
6038,1/04/2006,Central NSW,New South Wales,Visiting,189.17712,-32.0948,147.01
6039,1/07/2006,Central NSW,New South Wales,Visiting,199.569646,-32.0948,147.01
6040,1/10/2006,Central NSW,New South Wales,Visiting,156.310878,-32.0948,147.01
6041,1/01/2007,Central NSW,New South Wales,Visiting,185.4601913,-32.0948,147.01
6042,1/04/2007,Central NSW,New South Wales,Visiting,206.12159,-32.0948,147.01
6043,1/07/2007,Central NSW,New South Wales,Visiting,164.3236403,-32.0948,147.01
6044,1/10/2007,Central NSW,New South Wales,Visiting,138.5646762,-32.0948,147.01
6045,1/01/2008,Central NSW,New South Wales,Visiting,196.9595142,-32.0948,147.01
6046,1/04/2008,Central NSW,New South Wales,Visiting,159.7862896,-32.0948,147.01
6047,1/07/2008,Central NSW,New South Wales,Visiting,167.7988172,-32.0948,147.01
6048,1/10/2008,Central NSW,New South Wales,Visiting,143.2568578,-32.0948,147.01
6049,1/01/2009,Central NSW,New South Wales,Visiting,173.5213095,-32.0948,147.01
6050,1/04/2009,Central NSW,New South Wales,Visiting,163.4890733,-32.0948,147.01
6051,1/07/2009,Central NSW,New South Wales,Visiting,98.8187702,-32.0948,147.01
6052,1/10/2009,Central NSW,New South Wales,Visiting,207.075371,-32.0948,147.01
6053,1/01/2010,Central NSW,New South Wales,Visiting,123.2523301,-32.0948,147.01
6054,1/04/2010,Central NSW,New South Wales,Visiting,153.4142639,-32.0948,147.01
6055,1/07/2010,Central NSW,New South Wales,Visiting,124.1886392,-32.0948,147.01
6056,1/10/2010,Central NSW,New South Wales,Visiting,167.425334,-32.0948,147.01
6057,1/01/2011,Central NSW,New South Wales,Visiting,167.5144718,-32.0948,147.01
6058,1/04/2011,Central NSW,New South Wales,Visiting,148.3561432,-32.0948,147.01
6059,1/07/2011,Central NSW,New South Wales,Visiting,153.7877573,-32.0948,147.01
6060,1/10/2011,Central NSW,New South Wales,Visiting,162.6136476,-32.0948,147.01
6061,1/01/2012,Central NSW,New South Wales,Visiting,183.0964228,-32.0948,147.01
6062,1/04/2012,Central NSW,New South Wales,Visiting,192.8718778,-32.0948,147.01
6063,1/07/2012,Central NSW,New South Wales,Visiting,148.1758342,-32.0948,147.01
6064,1/10/2012,Central NSW,New South Wales,Visiting,224.3727738,-32.0948,147.01
6065,1/01/2013,Central NSW,New South Wales,Visiting,184.3570695,-32.0948,147.01
6066,1/04/2013,Central NSW,New South Wales,Visiting,189.9699588,-32.0948,147.01
6067,1/07/2013,Central NSW,New South Wales,Visiting,138.5940784,-32.0948,147.01
6068,1/10/2013,Central NSW,New South Wales,Visiting,151.1359169,-32.0948,147.01
6069,1/01/2014,Central NSW,New South Wales,Visiting,148.3943005,-32.0948,147.01
6070,1/04/2014,Central NSW,New South Wales,Visiting,169.856105,-32.0948,147.01
6071,1/07/2014,Central NSW,New South Wales,Visiting,173.1144048,-32.0948,147.01
6072,1/10/2014,Central NSW,New South Wales,Visiting,205.8904922,-32.0948,147.01
6073,1/01/2015,Central NSW,New South Wales,Visiting,148.0573753,-32.0948,147.01
6074,1/04/2015,Central NSW,New South Wales,Visiting,198.5185648,-32.0948,147.01
6075,1/07/2015,Central NSW,New South Wales,Visiting,167.7466156,-32.0948,147.01
6076,1/10/2015,Central NSW,New South Wales,Visiting,180.8678784,-32.0948,147.01
6077,1/01/2016,Central NSW,New South Wales,Visiting,192.8805212,-32.0948,147.01
6078,1/04/2016,Central NSW,New South Wales,Visiting,141.9481553,-32.0948,147.01
6079,1/07/2016,Central NSW,New South Wales,Visiting,174.1782244,-32.0948,147.01
6080,1/10/2016,Central NSW,New South Wales,Visiting,206.8473638,-32.0948,147.01
6081,1/01/1998,Central Queensland,Queensland,Business,55.0462885,-23.4141,144.7852
6082,1/04/1998,Central Queensland,Queensland,Business,74.6570898,-23.4141,144.7852
6083,1/07/1998,Central Queensland,Queensland,Business,37.1909594,-23.4141,144.7852
6084,1/10/1998,Central Queensland,Queensland,Business,78.7674028,-23.4141,144.7852
6085,1/01/1999,Central Queensland,Queensland,Business,50.5371902,-23.4141,144.7852
6086,1/04/1999,Central Queensland,Queensland,Business,87.4463864,-23.4141,144.7852
6087,1/07/1999,Central Queensland,Queensland,Business,116.3518418,-23.4141,144.7852
6088,1/10/1999,Central Queensland,Queensland,Business,72.4510783,-23.4141,144.7852
6089,1/01/2000,Central Queensland,Queensland,Business,26.6164911,-23.4141,144.7852
6090,1/04/2000,Central Queensland,Queensland,Business,102.5300888,-23.4141,144.7852
6091,1/07/2000,Central Queensland,Queensland,Business,78.2112933,-23.4141,144.7852
6092,1/10/2000,Central Queensland,Queensland,Business,76.6528664,-23.4141,144.7852
6093,1/01/2001,Central Queensland,Queensland,Business,76.5257779,-23.4141,144.7852
6094,1/04/2001,Central Queensland,Queensland,Business,94.8665847,-23.4141,144.7852
6095,1/07/2001,Central Queensland,Queensland,Business,52.8669859,-23.4141,144.7852
6096,1/10/2001,Central Queensland,Queensland,Business,80.1565947,-23.4141,144.7852
6097,1/01/2002,Central Queensland,Queensland,Business,77.09945,-23.4141,144.7852
6098,1/04/2002,Central Queensland,Queensland,Business,125.6806761,-23.4141,144.7852
6099,1/07/2002,Central Queensland,Queensland,Business,105.9011015,-23.4141,144.7852
6100,1/10/2002,Central Queensland,Queensland,Business,43.1416688,-23.4141,144.7852
6101,1/01/2003,Central Queensland,Queensland,Business,40.4793329,-23.4141,144.7852
6102,1/04/2003,Central Queensland,Queensland,Business,56.1191882,-23.4141,144.7852
6103,1/07/2003,Central Queensland,Queensland,Business,102.7054274,-23.4141,144.7852
6104,1/10/2003,Central Queensland,Queensland,Business,84.933633,-23.4141,144.7852
6105,1/01/2004,Central Queensland,Queensland,Business,79.3764677,-23.4141,144.7852
6106,1/04/2004,Central Queensland,Queensland,Business,67.4783415,-23.4141,144.7852
6107,1/07/2004,Central Queensland,Queensland,Business,60.3363204,-23.4141,144.7852
6108,1/10/2004,Central Queensland,Queensland,Business,111.8262574,-23.4141,144.7852
6109,1/01/2005,Central Queensland,Queensland,Business,82.1703388,-23.4141,144.7852
6110,1/04/2005,Central Queensland,Queensland,Business,70.4278948,-23.4141,144.7852
6111,1/07/2005,Central Queensland,Queensland,Business,103.4546148,-23.4141,144.7852
6112,1/10/2005,Central Queensland,Queensland,Business,82.0081741,-23.4141,144.7852
6113,1/01/2006,Central Queensland,Queensland,Business,57.038088,-23.4141,144.7852
6114,1/04/2006,Central Queensland,Queensland,Business,74.127393,-23.4141,144.7852
6115,1/07/2006,Central Queensland,Queensland,Business,57.30113,-23.4141,144.7852
6116,1/10/2006,Central Queensland,Queensland,Business,74.949224,-23.4141,144.7852
6117,1/01/2007,Central Queensland,Queensland,Business,99.7916872,-23.4141,144.7852
6118,1/04/2007,Central Queensland,Queensland,Business,114.3295152,-23.4141,144.7852
6119,1/07/2007,Central Queensland,Queensland,Business,85.7567679,-23.4141,144.7852
6120,1/10/2007,Central Queensland,Queensland,Business,97.7994505,-23.4141,144.7852
6121,1/01/2008,Central Queensland,Queensland,Business,72.677089,-23.4141,144.7852
6122,1/04/2008,Central Queensland,Queensland,Business,65.8471789,-23.4141,144.7852
6123,1/07/2008,Central Queensland,Queensland,Business,65.5299504,-23.4141,144.7852
6124,1/10/2008,Central Queensland,Queensland,Business,79.9139881,-23.4141,144.7852
6125,1/01/2009,Central Queensland,Queensland,Business,64.8370873,-23.4141,144.7852
6126,1/04/2009,Central Queensland,Queensland,Business,52.6595885,-23.4141,144.7852
6127,1/07/2009,Central Queensland,Queensland,Business,46.0491883,-23.4141,144.7852
6128,1/10/2009,Central Queensland,Queensland,Business,65.20504,-23.4141,144.7852
6129,1/01/2010,Central Queensland,Queensland,Business,111.9714826,-23.4141,144.7852
6130,1/04/2010,Central Queensland,Queensland,Business,54.1944875,-23.4141,144.7852
6131,1/07/2010,Central Queensland,Queensland,Business,64.8685706,-23.4141,144.7852
6132,1/10/2010,Central Queensland,Queensland,Business,122.6784144,-23.4141,144.7852
6133,1/01/2011,Central Queensland,Queensland,Business,59.6197797,-23.4141,144.7852
6134,1/04/2011,Central Queensland,Queensland,Business,71.9670477,-23.4141,144.7852
6135,1/07/2011,Central Queensland,Queensland,Business,84.7193014,-23.4141,144.7852
6136,1/10/2011,Central Queensland,Queensland,Business,58.4674449,-23.4141,144.7852
6137,1/01/2012,Central Queensland,Queensland,Business,55.2162192,-23.4141,144.7852
6138,1/04/2012,Central Queensland,Queensland,Business,102.0845185,-23.4141,144.7852
6139,1/07/2012,Central Queensland,Queensland,Business,90.7255978,-23.4141,144.7852
6140,1/10/2012,Central Queensland,Queensland,Business,73.350235,-23.4141,144.7852
